TEAM_NAME,Wins,Losses
Detroit Pistons,64,18
San Antonio Spurs,63,19
Dallas Mavericks,60,22
Phoenix Suns,54,28
Miami Heat,52,30
Cleveland Cavaliers,50,32
Memphis Grizzlies,49,33
New Jersey Nets,49,33
Los Angeles Clippers,47,35
Los Angeles Lakers,45,37
Denver Nuggets,44,38
Sacramento Kings,44,38
Washington Wizards,42,40
Chicago Bulls,41,41
Indiana Pacers,41,41
Utah Jazz,41,41
Milwaukee Bucks,40,42
New Orleans/Oklahoma City Hornets,38,44
Philadelphia 76ers,38,44
Orlando Magic,36,46
Seattle SuperSonics,35,47
Golden State Warriors,34,48
Houston Rockets,34,48
Boston Celtics,33,49
Minnesota Timberwolves,33,49
Toronto Raptors,27,55
Atlanta Hawks,26,56
Charlotte Bobcats,26,56
New York Knicks,23,59
Portland Trail Blazers,21,61
